jeu,type,numero,reussite,forme_generale,ecart_actuel,ecart_max,ecart_fav,affinite
EURO,N,50,209,4,11,54,0,44
EURO,N,49,195,4,3,44,0,26
EURO,N,48,191,8,6,82,0,1
EURO,N,47,179,6,0,82,0,29
EURO,N,46,170,5,4,66,0,27
EURO,N,45,201,5,44,45,3,17
EURO,N,44,222,12,1,48,0,39
EURO,N,43,179,9,6,75,0,40
EURO,N,42,219,10,14,50,3,13
EURO,N,41,178,11,0,46,0,25
EURO,N,40,176,7,15,40,0,43
EURO,N,39,191,8,14,45,0,44
EURO,N,38,197,4,2,42,4,30
EURO,N,37,205,7,8,44,2,23
EURO,N,36,182,4,3,43,0,42
EURO,N,35,202,7,16,56,0,17
EURO,N,34,194,7,54,43,2,7
EURO,N,33,170,5,44,55,4,12
EURO,N,32,178,4,47,48,1,23
EURO,N,31,182,8,60,65,2,38
EURO,N,30,193,4,59,62,0,23
EURO,N,29,214,9,44,51,1,11
EURO,N,28,188,8,48,58,0,15
EURO,N,27,205,10,70,78,1,39
EURO,N,26,200,7,70,81,1,24
EURO,N,25,202,6,62,72,1,5
EURO,N,24,199,11,60,68,0,23
EURO,N,23,218,4,46,59,1,4
EURO,N,22,152,4,57,74,1,49
EURO,N,21,212,5,52,64,1,14
EURO,N,20,201,3,67,70,0,23
EURO,N,19,216,5,43,53,1,37
EURO,N,18,173,7,51,62,0,16
EURO,N,17,211,12,65,71,2,35
EURO,N,16,190,5,87,92,0,18
EURO,N,15,199,4,50,62,0,28
EURO,N,14,200,11,52,62,0,4
EURO,N,13,201,14,58,68,0,11
EURO,N,12,194,6,50,57,0,44
EURO,N,11,191,6,60,73,2,13
EURO,N,10,211,11,56,62,0,45
EURO,N,9,183,7,76,88,0,6
EURO,N,8,185,10,57,64,2,5
EURO,N,7,198,6,51,63,0,34
EURO,N,6,188,9,55,63,1,9
EURO,N,5,198,11,52,65,2,25
EURO,N,4,197,9,56,61,0,23
EURO,N,3,187,2,65,77,1,50
EURO,N,2,179,4,48,51,1,19
EURO,N,1,185,5,58,61,0,48
EURO,E,1,240,1,3,15,0,0
EURO,E,2,235,0,8,18,0,0
LOTO,N,49,289,7,5,71,7,17
LOTO,N,48,274,3,2,29,5,48
LOTO,N,47,242,5,6,45,2,12
LOTO,N,46,249,1,9,28,2,7
LOTO,N,45,289,4,7,28,0,39
LOTO,N,44,268,2,0,19,2,11
LOTO,N,43,262,8,0,15,4,25
LOTO,N,42,222,8,1,10,1,8
LOTO,N,41,289,4,5,29,0,19
LOTO,N,40,293,3,4,22,7,40
LOTO,N,39,254,1,2,31,2,31
LOTO,N,38,261,1,0,19,3,21
LOTO,N,37,243,3,4,31,3,21
LOTO,N,36,211,7,4,31,4,12
LOTO,N,35,216,3,9,31,3,31
LOTO,N,34,217,1,8,34,0,29
LOTO,N,33,211,7,0,25,3,11
LOTO,N,32,241,0,3,26,2,34
LOTO,N,31,253,9,2,26,1,16
LOTO,N,30,261,1,6,26,5,40
LOTO,N,29,231,5,1,22,3,15
LOTO,N,28,227,3,0,33,8,29
LOTO,N,27,303,8,2,29,8,5
LOTO,N,26,271,0,0,22,3,4
LOTO,N,25,214,8,1,22,2,9
LOTO,N,24,253,7,2,27,8,3
LOTO,N,23,276,2,2,30,1,8
LOTO,N,22,211,3,9,33,1,25
LOTO,N,21,236,2,9,31,1,8
LOTO,N,20,248,7,0,32,0,3
LOTO,N,19,211,0,3,34,2,0
LOTO,N,18,244,0,3,35,2,8
LOTO,N,17,290,7,6,30,1,10
LOTO,N,16,306,4,5,33,8,4
LOTO,N,15,234,2,5,33,4,2
LOTO,N,14,280,1,8,29,3,8
LOTO,N,13,252,4,9,31,1,0
LOTO,N,12,232,3,6,33,9,3
LOTO,N,11,278,2,1,31,4,1
LOTO,N,10,239,3,1,32,5,3
LOTO,N,9,236,2,9,31,1,8
LOTO,N,8,248,7,0,32,0,3
LOTO,N,7,110,3,0,36,4,5
LOTO,N,6,103,7,1,34,1,3
LOTO,N,5,132,0,3,30,2,9
LOTO,N,4,130,2,9,33,0,1
LOTO,N,3,114,6,1,30,1,3
LOTO,N,2,121,7,1,34,2,7
LOTO,N,1,139,1,5,32,0,2
LOTO,C,1,142,7,1,14,1,1
LOTO,C,2,153,9,1,11,2,7
LOTO,C,3,140,6,6,15,2,0
LOTO,C,4,225,7,4,15,1,9
LOTO,C,5,137,1,1,15,1,0
LOTO,C,6,129,1,2,11,4,3
LOTO,C,7,121,1,4,13,3,1
LOTO,C,8,124,3,0,14,2,2
LOTO,C,9,142,6,7,10,1,0
LOTO,C,10,149,1,5,14,2,4
